steffenson,"100,000.00",3,100.00,"135,245.90",1
steffenson,"10,000.00",9,100.00,"135,749.20",1
steffenson,"10,000.00",9,"1,000,000.00","136,018.44",1
steffenson,"100,000.00",9,"100,000,000.00","136,371.89",1
steffenson,"100,000.00",9,"10,000.00","136,697.65",1
steffenson,"100,000.00",1,"10,000.00","137,419.42",2
bisection_mod,10,7,"1,000,000.00","137,914.80",8.94
steffenson,"100,000.00",1,"100,000,000.00","138,217.67",2
bisection_mod,10,5,100.00,"138,408.73",9.44
bisection_mod,10,7,"100,000,000.00","138,533.65",9.34
steffenson,"10,000.00",1,"10,000.00","138,972.59",2
fixed_point,10,9,1000000,"140,922.25",2
bisection_mod,10,5,"10,000.00","143,226.99",10.8
bisection_mod,100,9,1.00,"144,109.41",9.55
bisection_mod,10,5,"1,000,000.00","145,305.09",11.35
newton_method,"100,000.00",1,"1,000,000.00","145,523.04",2
bisection_mod,100,7,1.00,"146,456.44",10.46
fixed_point,10,9,100000000,"146,519.40",2
bisection_mod,100,9,"10,000.00","147,588.27",10.64
bisection_mod,100,9,100.00,"148,100.13",9.87
bisection,1000,9,1.00,"148,403.52",12.95
bisection,1000,9,100.00,"149,142.69",13.45
bisection_mod,100,9,"100,000,000.00","149,323.05",11.77
bisection_mod,100,7,100.00,"149,452.81",11.13
bisection_mod,100,9,"1,000,000.00","149,926.13",11.54
bisection_mod,100,7,"10,000.00","151,267.57",11.63
bisection,1000,9,"10,000.00","151,796.18",14.35
newton_method,10.00,3,1.00,"151,890.24",21.53
bisection_mod,1000,9,1.00,"151,928.94",12.71
bisection_mod,100,5,1.00,"152,086.00",12.13
bisection,1000,7,1.00,"152,260.82",13.85
bisection_mod,10,5,"100,000,000.00","152,345.68",13.43
bisection,1000,7,100.00,"153,730.23",14.64
bisection_mod,1000,9,100.00,"155,393.02",13.39
bisection,1000,9,"1,000,000.00","155,546.89",15.04
bisection_mod,1000,7,1.00,"155,728.15",13.69
fixed_point,10,3,1000000,"155,809.71",2
fixed_point,10,7,10000,"155,815.71",2
bisection_mod,100,7,"1,000,000.00","155,817.67",12.99
bisection,1000,5,1.00,"157,625.40",15.39
bisection,1000,9,"100,000,000.00","157,780.32",15.93
bisection,1000,7,"10,000.00","158,085.85",15.97
fixed_point,10,9,10000,"158,171.43",2
newton_method,10.00,5,1.00,"158,352.27",26.75
bisection_mod,1000,9,"10,000.00","158,386.23",14.18
bisection_mod,100,5,100.00,"158,408.31",13.49
bisection_mod,100,7,"100,000,000.00","158,988.29",13.8
steffenson,"10,000.00",9,"100,000,000.00","159,530.32",1
bisection,1000,7,"1,000,000.00","159,883.11",16.33
bisection_mod,1000,7,100.00,"160,255.52",14.85
bisection,1000,5,100.00,"160,287.10",16.44
newton_method,"100,000.00",1,"10,000.00","160,756.50",2
bisection_mod,100,5,"10,000.00","161,289.75",14.69
bisection_mod,1000,9,"1,000,000.00","161,484.97",14.83
newton_method,10.00,3,100.00,"161,877.75",25.46
bisection_mod,1000,7,"10,000.00","162,446.44",15.54
bisection_mod,1000,9,"100,000,000.00","162,604.25",15.68
fixed_point,10,7,100000000,"163,116.17",2
bisection,1000,7,"100,000,000.00","163,116.39",17.64
bisection_mod,100,3,1.00,"163,695.64",16.4
steffenson,100.00,3,"100,000,000.00","163,853.76",10.98
bisection_mod,10000,9,1.00,"164,191.49",15.78
fixed_point,10,1,1000000,"165,991.83",2
bisection_mod,10000,9,100.00,"166,111.81",16.7
bisection,10000,9,1.00,"166,416.68",15.92
bisection,10000,9,100.00,"166,428.76",16.74
bisection_mod,1000,7,"1,000,000.00","166,567.60",16.58
bisection_mod,10,3,"10,000.00","167,062.79",15.99
bisection_mod,1000,5,1.00,"167,170.92",15.64
bisection,1000,5,"10,000.00","167,236.83",18.31
bisection,100,9,"100,000,000.00","167,527.55",12.17
fixed_point,10,5,100,"168,039.43",2
bisection_mod,10000,9,"1,000,000.00","168,590.25",18.33
bisection_mod,10,3,"1,000,000.00","168,712.31",16.79
steffenson,100.00,7,1.00,"168,880.10",10.98
steffenson,"1,000.00",9,"10,000.00","169,036.42",10.98
bisection_mod,1000,5,100.00,"169,092.41",16.78
steffenson,100.00,1,100.00,"169,251.31",11.97
bisection_mod,100,5,"1,000,000.00","169,482.42",16.51
bisection_mod,1000,7,"100,000,000.00","169,632.67",17.5
bisection_mod,10,3,100.00,"169,796.71",13.63
newton_method,100.00,3,1.00,"169,844.57",28.92
newton_method_mod,10.00,3,1.00,"170,009.77",23.37
bisection,10000,7,1.00,"170,103.80",17.35
bisection_mod,100,3,100.00,"170,126.52",18.44
steffenson,100.00,7,"10,000.00","170,210.36",10.98
bisection_mod,10000,9,"10,000.00","170,399.99",17.77
bisection_mod,100,5,"100,000,000.00","170,824.10",17.47
bisection_mod,10000,9,"100,000,000.00","170,897.28",18.8
bisection,10000,9,"10,000.00","171,303.76",17.53
bisection,1000,5,"1,000,000.00","171,692.36",19.88
